Competition Title,Competition Description,Total Teams,Reward Quantity,Reward Type Name,Reward Display,Organization Name,Host Segment Title,Deadline
Two Sigma: Using News to Predict Stock Movements,Use news analytics to predict stock price performance,2927,100000.0,USD,"$100,000",Two Sigma,Featured,2019-07-15T23:59:00Z
Jigsaw Unintended Bias in Toxicity Classification,Detect toxicity across a diverse range of conversations,3167,65000.0,USD,"$65,000",Jigsaw/Conversation AI,Featured,2019-07-10T23:59:00Z
APTOS 2019 Blindness Detection,Detect diabetic retinopathy to stop blindness before it's too late ,290,50000.0,USD,"$50,000",Asia Pacific Tele-Ophthalmology Society (APTOS),Featured,2019-09-05T23:59:00Z
SIIM-ACR Pneumothorax Segmentation,Identify Pneumothorax disease in chest x-rays ,615,30000.0,USD,"$30,000",Society for Imaging Informatics in Medicine (SIIM),Featured,2019-09-04T23:59:00Z
Predicting Molecular Properties,Can you measure the magnetic interactions between a pair of atoms?,1466,30000.0,USD,"$30,000",CHAMPS (CHemistry And Mathematics in Phase Space),Featured,2019-08-28T23:59:00Z
Open Images 2019 - Object Detection,Detect objects in varied and complex images,164,25000.0,USD,"$25,000",Google Research,Research,2019-10-01T23:59:00Z
Open Images 2019 - Visual Relationship,Detect pairs of objects in particular relationships,59,25000.0,USD,"$25,000",Google Research,Research,2019-10-01T23:59:00Z
The 3rd YouTube-8M Video Understanding Challenge,Temporal localization of topics within video,23,25000.0,USD,"$25,000",Google Research,Research,2019-09-13T23:59:00Z
Recursion Cellular Image Classification,CellSignal: Disentangling biological signal from experimental noise in cellular images,157,13000.0,USD,"$13,000",Recursion Pharmaceuticals,Research,2019-09-26T23:59:00Z
Generative Dog Images,Experiment with creating puppy pics,112,10000.0,USD,"$10,000",Kaggle,Research,2019-08-09T23:59:00Z
Digit Recognizer,Learn computer vision fundamentals with the famous MNIST data,3089,0.0,Knowledge,Knowledge,Kaggle,Getting Started,2030-01-01T00:00:00Z
Titanic: Machine Learning from Disaster,Start here! Predict survival on the Titanic and get familiar with ML basics,11542,0.0,Knowledge,Knowledge,Kaggle,Getting Started,2030-01-01T00:00:00Z
House Prices: Advanced Regression Techniques,"Predict sales prices and practice feature engineering, RFs, and gradient boosting",4596,0.0,Knowledge,Knowledge,Kaggle,Getting Started,2030-01-01T00:00:00Z
ImageNet Object Localization Challenge,Identify the objects in images,45,0.0,Knowledge,Knowledge,ImageNet,Research,2029-12-31T07:00:00Z
Predict Future Sales,"Final project for ""How to win a data science competition"" Coursera course",3557,0.0,,Kudos,,Playground,2019-12-31T23:59:00Z
Northeastern SMILE Lab - Recognizing Faces in the Wild,Can you determine if two individuals are related?,394,,Knowledge,Knowledge,Northeastern SMILE Lab,Playground,2019-08-01T23:59:00Z
Aerial Cactus Identification,Determine whether an image contains a columnar cactus,1102,,Knowledge,Knowledge,Kaggle,Playground,2019-07-08T23:59:00Z
